,run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.std_score_time,metrics.mean_score_time,metrics.mean_test_score,metrics.std_test_score,metrics.mean_fit_time,metrics.rank_test_score,metrics.std_fit_time,metrics.best_cv_score,metrics.training_mse,metrics.training_r2_score,metrics.training_rmse,metrics.training_mae,metrics.training_score,metrics.mean_absolute_error_X_test,metrics.mean_squared_error-2_X_test,metrics.mean_squared_error_X_test,params.min_impurity_decrease,params.max_features,params.max_leaf_nodes,params.n_estimators,params.criterion,params.min_samples_split,params.max_samples,params.n_jobs,params.oob_score,params.max_depth,params.min_weight_fraction_leaf,params.warm_start,params.verbose,params.bootstrap,params.random_state,params.min_impurity_split,params.min_samples_leaf,params.ccp_alpha,params.pre_dispatch,params.best_min_samples_split,params.best_max_features,params.param_distributions,params.best_n_estimators,params.best_min_samples_leaf,params.cv,params.error_score,params.return_train_score,params.scoring,params.refit,params.best_max_depth,params.estimator,params.n_iter,tags.mlflow.source.type,tags.mlflow.source.name,tags.estimator_name,tags.mlflow.user,tags.mlflow.autologging,tags.mlflow.parentRunId,tags.estimator_class,tags.mlflow.log-model.history
0,054f8dea72104c1c84fa1b3f2d4c5a87,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/054f8dea72104c1c84fa1b3f2d4c5a87/artifacts,2022-02-15 12:21:15.792000+00:00,2022-02-15 12:22:38.285000+00:00,0.021076987,0.19324832,-4.315308908,3.231290883,1.116452217,2,0.162379569,,,,,,,,,,0,auto,None,700,mse,15,None,None,FALSE,20,0,FALSE,0,TRUE,None,None,1,0,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomForestRegressor,Sathishkumar.Paranth,sklearn,64b271cb00d84512b26daf9bb7c13d68,sklearn.ensemble._forest.RandomForestRegressor,
1,24c07d7499334d5997463b9ff986cf53,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/24c07d7499334d5997463b9ff986cf53/artifacts,2022-02-15 12:21:15.792000+00:00,2022-02-15 12:22:38.285000+00:00,0.019495716,0.270173264,-3.952841953,4.922676021,1.567387533,1,0.098811161,,,,,,,,,,0,sqrt,None,1000,mse,2,None,None,FALSE,25,0,FALSE,0,TRUE,None,None,1,0,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomForestRegressor,Sathishkumar.Paranth,sklearn,64b271cb00d84512b26daf9bb7c13d68,sklearn.ensemble._forest.RandomForestRegressor,
2,64b271cb00d84512b26daf9bb7c13d68,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/64b271cb00d84512b26daf9bb7c13d68/artifacts,2022-02-15 12:21:15.792000+00:00,2022-02-15 12:22:39.101000+00:00,,,,,,,,-3.952841953,0.485159178,0.979625983,0.696533687,0.275605262,-0.485159178,,,,,,,,,,,1,,,,,2,,42,,,,2*n_jobs,2,sqrt,"{'n_estimators': [100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200], 'max_features': ['auto', 'sqrt'], 'max_depth': [5, 10, 15, 20, 25, 30], 'min_samples_split': [2, 5, 10, 15, 100], 'min_samples_leaf': [1, 2, 5, 10]}",1000,1,5,nan,FALSE,neg_mean_squared_error,TRUE,25,RandomForestRegressor(),10,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomizedSearchCV,Sathishkumar.Paranth,,,sklearn.model_selection._search.RandomizedSearchCV,"[{""run_id"": ""64b271cb00d84512b26daf9bb7c13d68"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-02-15 12:22:23.316041"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.8.8"", ""env"": ""conda.yaml""}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""0.24.1"", ""serialization_format"": ""cloudpickle""}}, ""model_uuid"": ""436a279fa0de4dbc9cf6336a952af6cb"", ""signature"": {""inputs"": ""[{\""name\"": \""Present_Price\"", \""type\"": \""double\""}, {\""name\"": \""Kms_Driven\"", \""type\"": \""long\""}, {\""name\"": \""Owner\"", \""type\"": \""long\""}, {\""name\"": \""no_year\"", \""type\"": \""long\""}, {\""name\"": \""Fuel_Type_Diesel\"", \""type\"": \""integer\""}, {\""name\"": \""Fuel_Type_Petrol\"", \""type\"": \""integer\""}, {\""name\"": \""Seller_Type_Individual\"", \""type\"": \""integer\""}, {\""name\"": \""Transmission_Manual\"", \""type\"": \""integer\""}]"", ""outputs"": ""[{\""type\"": \""tensor\"", \""tensor-spec\"": {\""dtype\"": \""float64\"", \""shape\"": [-1]}}]""}}, {""run_id"": ""64b271cb00d84512b26daf9bb7c13d68"", ""artifact_path"": ""best_estimator"", ""utc_time_created"": ""2022-02-15 12:22:32.865062"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.8.8"", ""env"": ""conda.yaml""}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""0.24.1"", ""serialization_format"": ""cloudpickle""}}, ""model_uuid"": ""e42dd64fa1f843e882ea978aa60c75b0"", ""signature"": {""inputs"": ""[{\""name\"": \""Present_Price\"", \""type\"": \""double\""}, {\""name\"": \""Kms_Driven\"", \""type\"": \""long\""}, {\""name\"": \""Owner\"", \""type\"": \""long\""}, {\""name\"": \""no_year\"", \""type\"": \""long\""}, {\""name\"": \""Fuel_Type_Diesel\"", \""type\"": \""integer\""}, {\""name\"": \""Fuel_Type_Petrol\"", \""type\"": \""integer\""}, {\""name\"": \""Seller_Type_Individual\"", \""type\"": \""integer\""}, {\""name\"": \""Transmission_Manual\"", \""type\"": \""integer\""}]"", ""outputs"": ""[{\""type\"": \""tensor\"", \""tensor-spec\"": {\""dtype\"": \""float64\"", \""shape\"": [-1]}}]""}}]"
3,710067562daf4c9daaca9f31b7d2b495,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/710067562daf4c9daaca9f31b7d2b495/artifacts,2022-02-15 12:21:15.792000+00:00,2022-02-15 12:22:38.285000+00:00,0.0342865,0.29586544,-5.185642842,5.484973559,1.492272377,4,0.065848172,,,,,,,,,,0,sqrt,None,1100,mse,10,None,None,FALSE,15,0,FALSE,0,TRUE,None,None,2,0,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomForestRegressor,Sathishkumar.Paranth,sklearn,64b271cb00d84512b26daf9bb7c13d68,sklearn.ensemble._forest.RandomForestRegressor,
4,a72bcb45e51f4f11b0f6d411f7e178db,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/a72bcb45e51f4f11b0f6d411f7e178db/artifacts,2022-02-15 12:21:15.792000+00:00,2022-02-15 12:22:38.285000+00:00,0.026801265,0.106263924,-5.020200991,4.71930395,0.632388639,3,0.051785539,,,,,,,,,,0,auto,None,400,mse,5,None,None,FALSE,15,0,FALSE,0,TRUE,None,None,5,0,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomForestRegressor,Sathishkumar.Paranth,sklearn,64b271cb00d84512b26daf9bb7c13d68,sklearn.ensemble._forest.RandomForestRegressor,
5,b8cabb5ecf9e4ca3ab2781283d2872e8,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/b8cabb5ecf9e4ca3ab2781283d2872e8/artifacts,2022-02-15 12:21:15.792000+00:00,2022-02-15 12:22:38.285000+00:00,0.0167942,0.191603756,-5.38249375,5.538043252,0.988860226,5,0.08307988,,,,,,,,,,0,sqrt,None,700,mse,10,None,None,FALSE,5,0,FALSE,0,TRUE,None,None,2,0,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomForestRegressor,Sathishkumar.Paranth,sklearn,64b271cb00d84512b26daf9bb7c13d68,sklearn.ensemble._forest.RandomForestRegressor,
6,dfdbce0131194280b24bcb9bd4360680,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/dfdbce0131194280b24bcb9bd4360680/artifacts,2022-02-15 12:06:04.252000+00:00,2022-02-15 12:06:04.354000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\Desktop\Car-Price-prediction-main\app.py,,Sathishkumar.Paranth,,,,
7,e51c72848d47470ab2b1447f19ae4849,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/e51c72848d47470ab2b1447f19ae4849/artifacts,2022-02-15 12:05:22.671000+00:00,2022-02-15 12:05:22.761000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\Desktop\Car-Price-prediction-main\app.py,,Sathishkumar.Paranth,,,,
8,2da369056aa14dd79c8626e95385b795,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/2da369056aa14dd79c8626e95385b795/artifacts,2022-02-15 12:05:17.456000+00:00,2022-02-15 12:05:17.538000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCAL,app.py,,Sathishkumar.Paranth,,,,
9,c928125f1d2c4d2f9634042f9a77a284,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/c928125f1d2c4d2f9634042f9a77a284/artifacts,2022-02-15 12:04:57.131000+00:00,2022-02-15 12:04:57.249000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCAL,app.py,,Sathishkumar.Paranth,,,,
